"mean","sd","lower","upper","cover"
"-0.11585500015965","0.0413460550241562","-0.199162762226805","-0.0394960440846573","Yes"
"-0.0899766236288222","0.043392731895402","-0.161902574656308","0.00287400047616473","Yes"
"-0.13959580751252","0.0276605163576248","-0.19692551625232","-0.0856708630353718","Yes"
"-0.113950510826391","0.0398518293145814","-0.188088998037884","-0.0389071218164342","Yes"
"-0.13388810446048","0.0404739754825876","-0.203136927597896","-0.0412454977174966","Yes"
"-0.138954069559983","0.0389818906597573","-0.199357541275639","-0.0440334245393096","Yes"
"-0.0960020869634781","0.0240513052463787","-0.144005956832715","-0.0495145069447943","Yes"
"-0.123757069309333","0.0253255800783079","-0.17466591143879","-0.0754691249410453","Yes"
"-0.161297239527932","0.0270775680674304","-0.21471223342338","-0.10557997194471","Yes"
"-0.118497362396126","0.0473047584470132","-0.201661339210226","-0.0286423753605577","Yes"
"-0.132704771437229","0.0293076803453029","-0.191672178041193","-0.0767824844303949","Yes"
"-0.082719664042865","0.0589890395878177","-0.18764444260064","0.0264196962295807","Yes"
"-0.146918778153445","0.037954110990066","-0.215225137700537","-0.0734970854274918","Yes"
"-0.148034527014435","0.0317753012442081","-0.212933840364796","-0.0912657919494741","Yes"
"-0.0715073127051662","0.046996103979846","-0.163195162722246","0.00637848074458221","Yes"
"-0.126179998097789","0.0635433506224323","-0.22670546061562","-0.00109622518582606","Yes"
"-0.126014445663926","0.032404130135324","-0.190542538801219","-0.0654122565736519","Yes"
"-0.149357704875535","0.0375788075130825","-0.222163642661304","-0.0807663108906801","Yes"
"-0.158107407294475","0.0449504283947526","-0.237964616336733","-0.0612485068971084","Yes"
"-0.109784882487871","0.0377952720098732","-0.176333174380442","-0.0281424248358747","Yes"
"-0.108919032144078","0.0409525728159623","-0.183221721708455","-0.0293093754490029","Yes"
"-0.135776214904799","0.0404350388789392","-0.218588525811841","-0.0623532867078726","Yes"
"-0.0978765979097487","0.0234869785008073","-0.13972442739956","-0.047257176584172","Yes"
"-0.111196682271136","0.0368647249636331","-0.187715403753883","-0.0347209884164212","Yes"
"-0.0851623633421676","0.0339367478299671","-0.144478171465111","-0.0145325019015186","Yes"
"-0.0739871281702004","0.039518751365796","-0.160895777912725","-0.00744971261698118","Yes"
"-0.131963580480901","0.025821054501725","-0.185492672398239","-0.0839663565404538","Yes"
"-0.0760983399042631","0.032430043556299","-0.143121016085197","-0.0185398086762916","Yes"
"-0.119504738233061","0.041789763122589","-0.193322081245451","-0.0334849890703918","Yes"
"-0.154386247283663","0.0202894266325822","-0.194020994719075","-0.113249451911355","Yes"
"-0.104166910676814","0.0259703296713149","-0.154039992709528","-0.0534291878754596","Yes"
"-0.0969642516574495","0.0263418631866354","-0.153146480313321","-0.0481734391132302","Yes"
"-0.162030183565968","0.0258230795908574","-0.210678178875376","-0.105795429430614","Yes"
"-0.0845041304257081","0.0274458975553878","-0.141531829178565","-0.0326027674536086","Yes"
"-0.105472930284169","0.0214375057540683","-0.147459461742096","-0.0623380293582945","Yes"
"-0.118805535846666","0.047918816609773","-0.206299796470166","-0.0281643749719074","Yes"
"-0.0965461113315929","0.0278388195936009","-0.152385820622191","-0.0422745142918865","Yes"
"-0.116386939305293","0.042195430791108","-0.213059719872663","-0.0427294203842775","Yes"
"-0.152867396430186","0.0370618933381657","-0.210726202552196","-0.0669784767011385","Yes"
"-0.11566359751096","0.0367394149553688","-0.1842059854879","-0.0315973201604381","Yes"
"-0.141650361634279","0.0347178455599953","-0.203527327386071","-0.0678562888697433","Yes"
"-0.121806013310774","0.0265772057542947","-0.175880867404165","-0.0698565346279884","Yes"
"-0.134906618867533","0.0343007183777927","-0.201459565755249","-0.0687996903114086","Yes"
"-0.186620489476415","0.0258105340651712","-0.239751912898575","-0.138869026645411","No"
"-0.149333329722615","0.0280672448745675","-0.204547973223397","-0.0955656965691507","Yes"
"-0.141002836649689","0.0240268582980496","-0.191788168452493","-0.0970929731757569","Yes"
"-0.148833101565674","0.0339235602637906","-0.219650591741885","-0.0842976004580025","Yes"
"-0.0922333838853297","0.0261946466191629","-0.143117812229001","-0.0403561534947103","Yes"
"-0.0855999936512033","0.0378178866931621","-0.161778905385242","0.000600510054100945","Yes"
"-0.179319483587792","0.0244423615046958","-0.227722437045374","-0.132107847188191","Yes"
"-0.109912230067234","0.0248213765937992","-0.163826498159283","-0.0668285124013068","Yes"
"-0.15237886110994","0.0317002118129735","-0.21814665859427","-0.0937774029554873","Yes"
"-0.129570199943218","0.0243557305521739","-0.178663182278733","-0.0804572419627723","Yes"
"-0.0897066515705668","0.0442924384903956","-0.184780111389353","-0.00709037180141797","Yes"
"-0.106587575002124","0.0327266965538652","-0.176049916214092","-0.0427750873690027","Yes"
"-0.0806067533613036","0.0387764342082025","-0.148553423232983","0.00861600725094885","Yes"
"-0.090268954411315","0.0284201211621198","-0.146055106076711","-0.0355734547371887","Yes"
"-0.110275190006093","0.0348686040452218","-0.170080646814216","-0.0329552238265835","Yes"
"-0.135767709880612","0.0267644266139448","-0.191059321518607","-0.0860140309525517","Yes"
"-0.164191730606752","0.0275350738742504","-0.221147252187429","-0.11427990181702","Yes"
"-0.126820410266246","0.0260961695163455","-0.175079090628493","-0.0712612743377132","Yes"
"-0.14424897928839","0.0321619871312809","-0.204300829601303","-0.0800685298995693","Yes"
"-0.127190037057233","0.0234616904022298","-0.17011385979932","-0.0752972456279158","Yes"
"-0.130459737448734","0.0290645933364395","-0.186477611820655","-0.0751184009818184","Yes"
"-0.149225599809127","0.0348499373702484","-0.206074613148908","-0.0729930095652166","Yes"
"-0.0829369384418006","0.028053437286711","-0.143799476670495","-0.0300907555324122","Yes"
"-0.115739696438692","0.0223164905646838","-0.158926344844635","-0.0717236319579068","Yes"
"-0.130265120449181","0.0317458970743469","-0.185165211763012","-0.0506151278760642","Yes"
"-0.105281237076755","0.0423615250295141","-0.189234050092757","-0.0146386175779037","Yes"
"-0.108671048797825","0.0302529209669521","-0.164558610819361","-0.0515701669380147","Yes"
"-0.11009185510687","0.0314753738269633","-0.178950033820402","-0.0576193175217826","Yes"
"-0.0787036161579562","0.0214257421973951","-0.11936384867974","-0.0351908577238848","No"
"-0.108002758697122","0.0193885892448685","-0.146470270245795","-0.0692433048108653","Yes"
"-0.140641868681068","0.0457501321769354","-0.21899757687656","-0.0458309143452732","Yes"
"-0.0696610123354927","0.040389694185878","-0.15638293656441","-0.00368343628216671","Yes"
"-0.119566279295542","0.022881259061703","-0.165597640721523","-0.0779364519563381","Yes"
"-0.119509862520013","0.0250272383261081","-0.167464890214537","-0.0685480361443618","Yes"
"-0.108421278972158","0.0617868488704559","-0.20081277946925","0.0258019599021384","Yes"
"-0.157421675828679","0.0251379855916657","-0.206548662279546","-0.1076604217148","Yes"
"-0.124826432921965","0.0418712405902983","-0.207983547183431","-0.0504548521669989","Yes"
"-0.0661038740391793","0.0588416597397958","-0.212469939725186","0.00936437405833796","Yes"
"-0.190515453006962","0.0287647443402659","-0.24639906719475","-0.133247331709125","Yes"
"-0.164029718489826","0.0295913381018833","-0.225948725856493","-0.10912818389401","Yes"
"-0.182753176377178","0.024908890926885","-0.231776849845932","-0.133411018177762","Yes"
"-0.0639839426761972","0.0439530924192012","-0.170128776646415","0.0259183461460992","Yes"
"-0.0971232921823374","0.0298772661801723","-0.157089237122047","-0.0399628742980593","Yes"
"-0.0602481367985042","0.0256289865311719","-0.114222758193245","-0.0111183923265349","No"
"-0.13493048212861","0.0205857480668992","-0.172567777136372","-0.0925971929039805","Yes"
"-0.087717482955882","0.0258548972731925","-0.156889672137309","-0.0453499555917604","Yes"
"-0.147998108077049","0.0358135570534808","-0.211257300623021","-0.0778280640725656","Yes"
"-0.133810544744119","0.0271095671127107","-0.187648874812558","-0.0771376582054356","Yes"
"-0.137718847636254","0.0319601579795352","-0.193901205114003","-0.0678228792543926","Yes"
"-0.0641308164070855","0.0201839622945079","-0.104811617888851","-0.0226296487695039","No"
"-0.132377185172079","0.0451201311086014","-0.207379093145015","-0.0424968689095681","Yes"
"-0.158679858710025","0.0237363927980522","-0.204802421227183","-0.112249762968098","Yes"
"-0.140625319155651","0.045542204611967","-0.224901914668265","-0.0534632086054949","Yes"
"-0.119156261791758","0.0330241363135932","-0.181788228752837","-0.0446534473012494","Yes"
"-0.113505793168478","0.0205661582104632","-0.154901170624509","-0.0752177542032915","Yes"
"-0.173185366146784","0.0317752237147646","-0.248984035792617","-0.117447442189983","Yes"
"-0.0965696042172261","0.0462745708147995","-0.171149948589094","0.00344237035750882","Yes"
